Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18
520485113606a9c38b2a0f971e0b6029,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
baf40b077c0fc6881738ab28dd0d3d2b,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
52539efa9e4a4e03cf555395e5320f53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
161896a7fd611f18058e3a52f64095da,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
f23e546429249019fa3acb16e19c3183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4012e54fe71e3eea88c95c9092221137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0341c261257aebeda508f20265c6ae87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
8142e001b4dc22645751d6eb240def89,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
29ef7f6ca212ab0b39780a60de94b34b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2ae9517f984264d1b51e4652fba583ca,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8f79b747e5d6690e8efe841ae762a159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6d3c423718c3b2e8a4df8c1eeb7818c8,0,2,1,0,2,0,10,4,0,2,0,7,0,0,0,5,0,11
2f690f72fa637ba835673b67b0a0b1ae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
1e90f195de6de87b7e5edfa3e775f2aa,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
c07e51314ab0111eae55aa8679a8523e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336e4211ace546620037e6816e514e79,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
684ab374e87a21d0a1d219494d92acf1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
cf978c4a928499b06df20cc503784f7a,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
3712a87e8fe8c07b431ccc35d38204de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a329dbdc3a8ddca1d8ae0bfbeb2c6cc5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44636dbf518ebecd03f67281ba2f8a4b,0,0,0,0,0,0,0,7,0,13,0,0,0,0,10,0,0,0
9b736bab2b58aaee42bb4ba0f11af787,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,0
2f85e9fb39a084d1273813f58d3e74e9,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9445c38c7fcbbafef5bc768d93652a6a,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
d0e7d5958f26023c8b5b24956cc5be11,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
d389f2171825bb99a2a098e587ba3fe6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
006046946e2556ca83e894a03bd61fd0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
b89c18a00565e4ec84caa9df7cb24470,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
b91dda39142e79621f5d86d516983c39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
85be1148e6c43591b350021dd46f84f7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fbc1a1a8d99e66634cac1b615ee5eaf9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57e18f965be0818daed8b35a3bf2aa52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47087b9d688281e026adcb97b9fc1e07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d9a1f02e32ba1bcd6d8310410446daae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
e52e158d190fc2966cc3373d0152a3da,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
61417851068ef1da7148453770402ee8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
728547a53aab2bb3e7dca34d9a9281bc,0,84,19,149,100,39,22,15,0,0,0,23,0,0,0,9,44,14
6dcfe827a580b8cc28b58d3b54d7bf2a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19001a970fcda7e7388eac74caddd5d4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9a7e2e798f8965e713873c19cc17a42a,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
906f366c0268d0b9d57e291d69d45614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3930081cda63562c08ad80d2416325f0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
46877a34b28f78cdd48473f7c748f039,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6955ec4b1b1288ebbcf8ea10042fe4a2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7e35857eca0308df7b262d619b51f79f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
965397f2480543197df8f2d3fa4e7db8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
ee89af0f2ee26f494be82d9e876053b9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
a720ba2841a4e8e116e51bbb230ac3ef,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10c649089622b7faaf6a63414b3ffa86,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
f11324006780f81118e5e4416641e556,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
939a37f0596544f74cc964cf396fb07b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7f99f9d33157d0addccd453709682caa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1543fa5bd322b0ebcd446bc46b5bf99f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2c7a59c8ba0d47bd4c9910e63a2d3014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31c45e18c20cd72651bf1588d9bfa1d5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
cae511f82edc2c4410d9645c7b2e535d,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
656e1a18dda19dc9e8bf1d8aa8eb3929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0
f53b3bf5fc673dca96c4534260fa42df,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57bd8031b5647fbf520fdc4b201dee7a,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c04e8ce2c8cc7c00d2e206b608d3baf3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caa12a58fa641ba97e7709b936908e03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
51515c8331afc99f1383590efff00f86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c9f25a67a9bbd3e7aa9d6812aec596d2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,12,23
33d63920da5a83a3a81c27b8f0b9c029,0,0,0,7,61,0,0,2,0,0,0,0,110,0,19,15,60,69
08954643115b461ce5096d336da29b1a,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0
d316baa75697d140624b89b98286fc89,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
7e69d09142168afba9ffc69eecc3b2ef,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
667c6b39aa312cd38e86d26f91ec69b8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
49a15bf07725cf124fbe7ac83ef6aaaa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4775879c9707211964afad82f47284d3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1ef19ace2f03b18aa206344eda7d6b58,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1,0
93208c1cad6ed586035e966e5f1f3f36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,44,15
3f8e47218db898fe636b49ffc8bba409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,37
8eebd1ab10351554520597d23643c180,0,0,0,0,0,0,0,24,18,0,0,0,0,0,0,0,0,0
22eadd67e341873ca1801122ace4fa4b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0
dd8fb8ee24263e6369087616d8609453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
cdc19a7551bce8a8ba57eac9f793f5fb,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,2,11,9
153e451e63991eb25c17b29948b89654,0,0,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75bef87c98266d5fb408f1b1bd5a8b11,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,7
e68067f4025239641f5f5794e69f6091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
ca57829c9b04c314b793e8c4f9f626f4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
ce4e751e34b870ffca2d9e8e0ce150cf,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
c340a5837c3ec0c8ce2e7b08b8847f8b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
8a9af6cece645ccb7b1052de5f3c9e62,11,0,0,0,22,0,0,6,0,9,2,0,21,3,2,0,0,0
ba624544d15dfcbe1fe2fb8d703923f6,0,0,0,0,24,0,0,31,0,0,0,0,0,0,0,0,0,0
05194625789869c358b05df5f46948fc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
0258c0afa47c13e2493b4564aa40ea39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0
7d8b799cab228778f211f66971d23d33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
2b2cf5aad3c46f65331485cd296a0baf,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
9cc30b1e4c2689949a0ee816c2eae263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
ca59f229982911d359b9a80f25bfc4f2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
6ca106aa89990c74cc5d13b93dc157b5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2f7ed0262a4f052e1ac176c91646e9d4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
b1da7af026b3841b95f334cf4e8f7c4e,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
b6f4fd8b816bb82f23b2fda54eb170ea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7edf2ff0d890324bc3ed2ac9be3843aa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f2974d1e8769eb7c845a1ba829781585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
eae76b27617f1cee22da2bbe7943d0bd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b5e221c1a60b545ce28659afdcacb4fb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
917e8d273fdb0fca5393baeee3582d51,0,0,0,36,0,0,6,0,0,19,3,0,48,0,26,11,0,0
1dadd479eb26fd2fd4a966fb447ba13f,0,0,0,56,0,0,2,0,0,0,0,0,14,0,0,7,0,0
4f8f4503e8896f461aaee4bcdea91b3f,14,13,0,0,9,15,0,0,0,0,0,0,4,10,0,0,0,0
9a9697c0cbae03e07538b364397fe1a7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
4b4a1418ae901d088fcf5bf3a10f02b9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
52db72ea315ea00c5c701d35ddb37139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
